webui, stable-diffusion-webui, https://github.com/AUTOMATIC1111/stable-diffusion-webui.git, v1.8.0, GNU AGPLv3, Stable Diffusion web UI, A browser interface for Stable Diffusion, Stable Diffusion web UI is a browser interface for Stable Diffusion based on Gradio library.
forge, stable-diffusion-webui-forge, https://github.com/lllyasviel/stable-diffusion-webui-forge.git, ef35383b4a11, AGPL-3.0 license, Stable Diffusion WebUI Forge, A platform on top of Stable Diffusion WebUI, Enhance the standard WebUI to simplify development while optimizing resource management and accelerating inference time.
comfyui, comfyui, https://github.com/comfyanonymous/ComfyUI.git, d19de27, GPL-3.0, ComfyUI, A powerful and modular stable diffusion GUI and backend, Let you design and execute advanced stable diffusion pipelines using a graph/nodes/flowchart based interface.
invoke, invoke-ai, https://github.com/invoke-ai/InvokeAI.git, 994b247, MIT, InvokeAI, A stable diffusion toolkit, InvokeAI empowers professionals artists and enthusiasts to generate visual media using AI-driven technologies.
